UAV,Wing Span,Aspect Ratio,Wing Area (m^2),Empty Weight (kg),Payload (kg),Cruise Speed (m/s),Endurance (h),Range (km),Battery (Ah),Altitude (m),Dimension
KapetAir,3.3,11,1,6.5,1,18.06,2,120,20,4175,Unknown
DeltaQuad#Map,2.35,6.2,0.9,5,1.2,16,1.833,100,23,4000,114*48*44 cm
Trinity,2.4,9,0.64,5,0.7,17,1.5,100,20,4500,100*83*27 cm
Foxtech Pegasus-230 VTOL,2.3,9,2.33,8,1,20,1.833,130,21,3000,125*34*34 cm
Falcon V,3,8.8,1.12,6,5,25,2,100,21,3000,Unknown
Avg,2.67,8.8,1.198,6.1,1.78,19.212,1.8332,110,21,3735,
Max,3.3,11,2.33,8,5,25,2,130,23,4500,
Min,2.3,6.2,0.64,5,0.7,16,1.5,100,20,3000,
